Frequenz	Amplitude
Hz	10-75-5
Inf	0,00000
9,47859	2,10820E-5
16,59095	4,34146E-5
19,34560	3,66926E-5
28,34114	7,75525E-5
38,03538	0,00013
50,66940	0,00017
59,44220	0,00027
68,03300	0,00033
77,06464	0,00042
86,34991	0,00051
98,65264	0,00063
107,49359	0,00077
116,63297	0,00091
126,04582	0,00104
138,14090	0,00121
147,22216	0,00143
156,43404	0,00161
165,88388	0,00180
177,82929	0,00210
186,92925	0,00242
196,25986	0,00274
205,74461	0,00309
217,51586	0,00358
226,73561	0,00428
236,14163	0,00494
248,27417	0,00575
257,35017	0,00723
266,60571	0,00896
276,05602	0,01132
288,15796	0,01544
297,28538	0,02309
306,44151	0,03748
314,99918	0,06234
323,57206	0,07400
333,60430	0,03901
345,70791	0,02570
355,36074	0,02004
364,88107	0,01658
376,41284	0,01492
385,88814	0,01360
395,43095	0,01259
407,01330	0,01208
416,35240	0,01187
425,84286	0,01163
435,36467	0,01146
446,88966	0,01185
456,26803	0,01212
465,77562	0,01238
477,52088	0,01285
486,74778	0,01388
496,17582	0,01475
505,70326	0,01561
517,33967	0,01726
526,63285	0,01919
536,09389	0,02117
545,61620	0,02351
557,19505	0,02788
566,52933	0,03277
576,02429	0,03878
587,92023	0,04841
597,10453	0,06399
606,46454	0,08744
615,88468	0,12816
627,51684	0,20274
633,47367	0,28452
642,30026	0,20381
655,09387	0,12933
664,69151	0,09522
676,30913	0,07850
685,85028	0,06774
695,39540	0,05996
706,92766	0,05555
716,31950	0,05258
725,84013	0,04986
735,34211	0,04745
746,82076	0,04782
756,24199	0,04746
765,76516	0,04708
777,41475	0,04784
786,69398	0,04971
796,14866	0,05099
805,67482	0,05234
817,24333	0,05603
826,56986	0,05997
836,05261	0,06368
847,91431	0,06805
857,08772	0,07685
866,45744	0,08553
875,96515	0,09517
887,73855	0,11011
896,95988	0,13197
906,35864	0,15825
915,86753	0,19380
927,59613	0,25905
936,75011	0,35509
945,87849	0,48594
954,89831	0,60643
964,13550	0,57496
975,93577	0,43022
985,59479	0,34034
995,20113	0,28007
1006,77471	0,24386
1016,20407	0,22222
1025,74270	0,20454
1037,46489	0,19062
1046,71710	0,18874
1056,15445	0,18496
1065,67824	0,18155
1077,29758	0,18258
1086,58688	0,18773
1096,04608	0,19065
1105,55873	0,19317
1117,10451	0,20288
1126,43164	0,21199
1135,91250	0,21869
1145,40968	0,22429
1156,90552	0,24049
1166,27800	0,25227
1175,77983	0,26169
1187,50446	0,27356
1196,73119	0,29517
1206,15080	0,31286
1215,66599	0,33070
1227,31055	0,36213
1236,58109	0,40348
1246,01565	0,44847
1255,49576	0,50309
1267,03214	0,58948
1276,16506	0,67166
1285,41541	0,70480
1294,79948	0,65060
1304,14954	0,52867
1315,87812	0,42409
1325,47304	0,34073
