Frequenz	Amplitude
Hz	3-16mm
Inf	0,00000
11,34345	2,25123E-5
20,87571	8,14037E-5
20,85409	7,62193E-5
28,06320	0,00013
37,53765	0,00023
46,40415	0,00029
58,95177	0,00041
68,02081	0,00056
76,74727	0,00065
85,99515	0,00082
95,35175	0,00092
107,27613	0,00109
116,32171	0,00127
125,62007	0,00146
135,05590	0,00163
146,87233	0,00186
155,95866	0,00211
165,36460	0,00232
174,87695	0,00255
186,54100	0,00285
195,78664	0,00321
205,20209	0,00354
214,71194	0,00389
226,30303	0,00438
235,61106	0,00493
245,09191	0,00549
256,98354	0,00608
266,12137	0,00716
275,48514	0,00822
284,99549	0,00960
296,77014	0,01163
305,99589	0,01463
315,41176	0,01884
324,91613	0,02581
336,60069	0,04048
345,07034	0,06422
351,51486	0,08131
363,69380	0,04780
373,36276	0,03054
385,17347	0,02246
394,76463	0,01838
404,24744	0,01566
415,80714	0,01375
425,25910	0,01265
434,77050	0,01177
444,19123	0,01104
455,72792	0,01080
465,19592	0,01056
474,70961	0,01042
486,29976	0,01041
495,64689	0,01073
505,12807	0,01099
514,60453	0,01129
526,15267	0,01191
535,53622	0,01269
545,04016	0,01347
554,49511	0,01431
566,02080	0,01591
575,44721	0,01749
584,95423	0,01927
596,62519	0,02161
605,89904	0,02483
615,36460	0,02853
624,86456	0,03292
636,47056	0,03996
645,80091	0,04907
655,29068	0,06118
667,23854	0,08023
676,35279	0,11449
685,54364	0,17138
694,48460	0,26149
703,32808	0,32728
712,73323	0,23143
724,89746	0,15351
734,54943	0,11963
743,99278	0,09837
755,61721	0,08593
765,13162	0,07806
774,62919	0,07186
786,19330	0,06700
795,57868	0,06504
805,08432	0,06310
814,53904	0,06128
826,06487	0,06119
835,48617	0,06162
844,99128	0,06189
854,40727	0,06204
865,93141	0,06492
875,38554	0,06720
884,88193	0,06948
896,47847	0,07287
905,80114	0,07818
915,27771	0,08329
924,76100	0,08884
936,31323	0,09793
945,67797	0,10861
955,17181	0,12030
966,96589	0,13401
976,15569	0,15778
985,55515	0,18479
995,04484	0,21870
1006,76071	0,26850
1015,93713	0,34242
1025,24761	0,43628
1034,55835	0,54740
1043,75455	0,63425
1052,81594	0,61645
1064,68940	0,54568
1074,26403	0,46487
1083,63597	0,39403
1095,34133	0,35179
1104,87197	0,32056
1114,32657	0,29466
1125,86516	0,27537
1135,30141	0,26385
1144,80152	0,25240
1154,19348	0,24004
1165,72827	0,23370
1175,19008	0,22701
1184,67501	0,21923
1196,24853	0,20922
1205,59288	0,20616
1215,08174	0,20014
1224,54657	0,19283
1236,08147	0,18701
1245,48452	0,18426
1254,99016	0,18009
1264,42031	0,17491
1275,94925	0,17463
1285,39708	0,17443
1294,89972	0,17395
1306,52493	0,17384
1315,83450	0,18045
1325,31253	0,18596
1334,80355	0,19228
1346,37511	0,20449
1355,73272	0,22200
1365,22622	0,24265
1374,69770	0,26906
1386,23211	0,31885
1395,58007	0,38440
1404,97807	0,47665
1414,21823	0,59620
1423,16625	0,68172
1434,60275	0,59188
1444,27747	0,44043
1453,78703	0,32261
1465,49440	0,24395
1475,04833	0,19860
1484,55483	0,16518
1496,12140	0,13832
1505,53915	0,12263
1515,05571	0,10913
1524,50151	0,09763
1536,03085	0,08919
1545,47340	0,08308
1554,98018	0,07749
1564,37849	0,07220
1575,91627	0,06988
1585,38689	0,06746
1594,88109	0,06515
1606,45449	0,06351
1615,80150	0,06368
1625,29170	0,06352
1634,76719	0,06337
1646,30225	0,06505
1655,69512	0,06741
1665,19901	0,06981
1674,64644	0,07247
1686,16991	0,07924
1695,60144	0,08619
1705,11217	0,09477
1716,78364	0,10785
1726,06028	0,12767
1735,50540	0,15399
1744,98726	0,19325
1756,53788	0,26437
1765,40130	0,36044
1774,31104	0,42024
1783,83005	0,33337
1793,36793	0,22427
1805,28541	0,16126
1814,88159	0,12753
1824,34664	0,10418
1835,92378	0,08819
1845,41180	0,07780
1854,93298	0,06942
1864,31423	0,06226
1875,89023	0,05903
1885,38963	0,05605
1894,88255	0,05374
1906,42722	0,05306
1915,79767	0,05357
1925,28535	0,05403
1934,73285	0,05444
1946,23659	0,05643
1955,63336	0,05811
1965,12734	0,05924
1974,54400	0,05987
1986,05970	0,06285
1995,50344	0,06491
2005,00306	0,06681
2016,61045	0,06962
2025,92422	0,07431
2035,40230	0,07886
2044,89341	0,08408
2056,45740	0,09342
2065,81759	0,10523
2075,31170	0,12000
2087,15868	0,14140
2096,30850	0,18049
2105,56836	0,23716
2114,72410	0,31691
2123,68296	0,38010
2132,78804	0,31076
2144,86081	0,20233
2154,52680	0,14704
2163,95818	0,11200
2175,62221	0,09002
2185,15279	0,07597
2194,64305	0,06519
2206,19155	0,05660
2215,60435	0,05135
2225,11719	0,04672
2234,55851	0,04266
2246,08378	0,03997
2255,52546	0,03794
2265,03292	0,03605
2274,42918	0,03419
2285,96485	0,03390
2295,43700	0,03336
2304,93196	0,03284
2316,50509	0,03287
2325,85479	0,03365
2335,34602	0,03428
2344,82479	0,03500
2356,35834	0,03705
2365,75141	0,03935
2375,25827	0,04184
2386,99876	0,04498
2396,23085	0,05073
2405,66074	0,05704
2415,17099	0,06497
2426,85282	0,07785
2436,11703	0,09701
2445,53107	0,12439
2454,93389	0,16746
2464,07108	0,23136
2472,79434	0,28149
2484,43224	0,22809
2494,17171	0,16060
2503,59523	0,11736
2515,42146	0,09388
2524,98011	0,07887
2534,42445	0,06766
2545,97842	0,06013
2555,45044	0,05478
2564,95956	0,05022
2576,55826	0,04605
2585,88877	0,04422
2595,37390	0,04213
2604,85861	0,04015
2616,40087	0,03879
2625,77580	0,03821
2635,27351	0,03742
2644,72783	0,03655
2656,24391	0,03677
2665,65850	0,03700
2675,16184	0,03707
2686,83274	0,03715
2696,09578	0,03878
2705,54633	0,04003
2715,04588	0,04134
2726,64959	0,04361
2735,96600	0,04712
2745,44202	0,05088
2754,93368	0,05558
2766,50139	0,06417
2775,84467	0,07572
2785,30706	0,09217
2794,71825	0,11785
2805,94819	0,15926
2814,69638	0,18992
2824,11507	0,15662
2833,80087	0,10313
2843,13892	0,06962
2855,14755	0,05224
2864,69219	0,04121
2874,05951	0,03318
2885,67443	0,02780
2895,18368	0,02391
2904,66033	0,02072
2916,19811	0,01805
2925,60392	0,01636
2935,11019	0,01482
2944,55000	0,01344
2956,07119	0,01245
2965,50935	0,01168
2975,01955	0,01098
2984,41026	0,01028
2995,95166	0,01000
3005,42260	0,00970
3014,91768	0,00938
3026,49163	0,00916
3035,84128	0,00916
3045,34044	0,00911
3054,80871	0,00902
3066,34047	0,00919
3075,74162	0,00937
3085,24740	0,00952
3094,68401	0,00962
3106,19873	0,01018
3115,64123	0,01058
3125,14811	0,01100
3136,77126	0,01160
3146,07386	0,01246
3155,53992	0,01325
3165,03406	0,01407
3176,59691	0,01545
3185,94859	0,01697
3195,44023	0,01854
3207,25042	0,02028
3216,43684	0,02334
3225,83211	0,02650
3235,33634	0,03013
3247,06341	0,03535
3256,29889	0,04277
3265,72306	0,05190
3275,22085	0,06437
3286,89300	0,08587
3296,06582	0,11809
3305,24561	0,16389
3314,30712	0,21285
3323,45060	0,21242
3332,65615	0,15794
3344,90862	0,12318
3354,46813	0,10028
3366,06985	0,08473
3375,53410	0,07617
3385,06387	0,06943
3394,49153	0,06388
3406,02935	0,06139
3415,49524	0,05932
3424,99855	0,05760
3436,59555	0,05660
3445,92313	0,05751
3455,40659	0,05815
3464,89178	0,05900
3476,43963	0,06181
3485,80927	0,06559
3495,30719	0,06978
3504,77210	0,07494
3516,29612	0,08549
3525,69025	0,09802
3535,17347	0,11491
3546,89133	0,14101
3555,93965	0,18128
3565,00122	0,22340
3574,18707	0,23519
3583,58731	0,19046
3592,85112	0,13515
3604,98235	0,10366
3614,52884	0,08264
3623,85692	0,06709
3635,55777	0,05803
3645,08511	0,05091
3654,53657	0,04510
3666,07056	0,04099
3675,52008	0,03810
3685,03082	0,03550
3694,43129	0,03311
3705,97025	0,03225
3715,44497	0,03126
3724,94178	0,03036
3736,51507	0,02989
3745,86561	0,03017
3755,35941	0,03029
3764,83633	0,03044
3776,36786	0,03163
3785,76533	0,03297
3795,27204	0,03433
3806,99897	0,03596
3816,23706	0,03944
3825,67128	0,04291
3835,18057	0,04696
3846,83377	0,05323
3856,11632	0,06210
3865,56703	0,07307
3875,05484	0,08807
3886,63423	0,11432
3895,77168	0,15032
3904,89672	0,19107
3914,06513	0,20872
3923,36393	0,17386
3935,22722	0,12831
3944,85998	0,10123
3954,35321	0,08226
3965,94108	0,06936
3975,43090	0,06114
3984,94997	0,05455
3994,32850	0,04886
4005,89270	0,04590
4015,38331	0,04299
4024,86956	0,04035
4036,41192	0,03843
4045,78903	0,03740
4055,28768	0,03619
4064,74361	0,03497
4076,25660	0,03476
4085,67301	0,03462
4095,17623	0,03433
4106,84231	0,03395
4116,10618	0,03503
4125,55537	0,03566
4135,05474	0,03629
4146,65209	0,03750
4155,96717	0,03965
4165,44272	0,04168
4174,92894	0,04398
4186,48270	0,04825
4195,83998	0,05352
4205,32869	0,05982
4217,15551	0,06822
4226,30828	0,08353
4235,61542	0,10353
4244,93456	0,13031
4254,08993	0,15843
4263,07648	0,16033
4274,80683	0,12452
4284,47064	0,09338
4293,93612	0,07118
4305,61341	0,05666
4315,15239	0,04771
4324,65417	0,04088
4336,21383	0,03548
4345,62789	0,03231
4355,14308	0,02949
4364,59206	0,02705
4376,12159	0,02551
4385,56524	0,02437
4395,07591	0,02330
4406,71459	0,02225
4416,01544	0,02223
4425,48960	0,02198
4434,98829	0,02176
4446,56056	0,02195
4455,91286	0,02256
4465,40658	0,02307
4474,88725	0,02362
4486,41812	0,02516
4495,81610	0,02678
4505,32102	0,02851
4517,05010	0,03082
4526,28849	0,03473
4535,71897	0,03897
4545,22653	0,04416
4556,88792	0,05245
4566,14964	0,06405
4575,56306	0,07934
4584,98891	0,10078
4596,45577	0,13153
4605,39100	0,16018
4614,66242	0,16167
4624,21608	0,13476
4633,62356	0,10502
4645,43247	0,08609
4654,99818	0,07334
4664,45537	0,06357
4676,00851	0,05704
