Frequenz	Amplitude
Hz	8-1
Inf	0,00000
9,91204	7,72845E-5
9,42038	2,37669E-5
19,18926	7,55206E-5
29,66037	0,00013
41,35982	0,00030
50,46469	0,00064
59,66931	0,00107
68,93547	0,00163
80,64455	0,00218
89,80011	0,00299
99,10945	0,00377
108,50804	0,00449
120,18689	0,00515
129,44845	0,00613
138,79076	0,00702
148,28984	0,00772
159,83774	0,00842
169,17618	0,00951
178,58346	0,01033
188,15965	0,01096
199,58774	0,01178
208,95295	0,01294
218,43654	0,01368
228,05986	0,01415
239,37862	0,01521
248,78107	0,01626
258,32089	0,01691
267,99144	0,01727
279,18379	0,01861
288,63817	0,01955
298,23233	0,02005
309,63355	0,02054
319,01950	0,02204
328,51866	0,02287
338,15031	0,02325
349,44599	0,02403
358,87097	0,02548
368,41841	0,02610
378,09136	0,02631
389,28092	0,02763
398,73764	0,02886
408,32378	0,02934
418,02864	0,02945
429,12086	0,03119
438,61949	0,03227
448,24624	0,03264
459,56271	0,03312
468,97456	0,03495
478,51593	0,03584
488,17744	0,03604
499,39154	0,03713
508,84082	0,03883
518,41758	0,03951
528,11665	0,03956
539,23659	0,04137
548,72193	0,04284
558,33387	0,04328
568,06162	0,04323
579,09234	0,04579
588,61027	0,04709
598,25902	0,04736
609,51783	0,04807
618,95585	0,05051
628,51202	0,05154
638,19293	0,05165
649,35980	0,05337
658,82645	0,05562
668,41931	0,05640
678,13476	0,05629
689,20837	0,05904
698,71271	0,06111
708,33986	0,06174
719,64470	0,06180
729,06737	0,06554
738,60430	0,06724
748,26859	0,06772
759,48436	0,06920
768,93798	0,07270
778,50869	0,07419
788,20462	0,07448
799,33247	0,07748
808,81343	0,08079
818,41947	0,08213
828,14462	0,08240
839,18639	0,08700
848,69877	0,09020
858,34016	0,09134
869,61352	0,09248
879,04879	0,09826
888,59522	0,10133
898,26903	0,10234
909,46064	0,10573
918,91876	0,11154
928,49953	0,11442
938,20273	0,11578
949,30821	0,12172
958,79704	0,12766
968,41226	0,13059
978,13988	0,13215
989,16234	0,14107
998,68427	0,14715
1008,32862	0,15034
1019,59041	0,15418
1029,02413	0,16479
1038,57669	0,17116
1048,25092	0,17428
1059,42993	0,18171
1068,89068	0,19254
1078,47201	0,19853
1088,17271	0,20126
1099,27160	0,21239
1108,75789	0,22224
1118,36930	0,22642
1128,09343	0,22706
1139,11311	0,23980
1148,62853	0,24581
1158,27187	0,24536
1169,52779	0,24474
1178,95745	0,25305
1188,50716	0,25260
1198,18601	0,24623
1209,35218	0,24442
1218,81388	0,24543
1228,40772	0,23864
1238,12402	0,22797
1249,19222	0,22572
1258,69422	0,22142
1268,32847	0,21174
1278,07629	0,19991
1294,42267	0,13865
1308,26195	0,18235
1319,46244	0,17413
1328,91703	0,17232
1338,49944	0,16556
1348,20812	0,15651
1359,31196	0,15217
1368,80153	0,14949
1378,42005	0,14311
1388,15757	0,13518
1399,17116	0,13363
1408,69489	0,13055
1418,34782	0,12453
1429,59640	0,11797
1439,03590	0,11804
1448,59591	0,11452
1458,28298	0,10904
1469,44081	0,10522
1478,91244	0,10448
1488,50834	0,10096
1498,22683	0,09603
1509,29668	0,09451
1518,79797	0,09332
1528,42861	0,08992
1538,17496	0,08562
1549,15647	0,08569
1558,69305	0,08419
1568,35589	0,08098
1579,57655	0,07773
1589,02544	0,07828
1598,59488	0,07646
1608,28925	0,07334
1619,42309	0,07173
1628,90206	0,07169
1638,50635	0,06975
1648,23132	0,06675
1659,27692	0,06641
1668,78705	0,06588
