Frequenz	Amplitude
Hz	9-4-13mm
Inf	0,00000
10,01224	6,48659E-5
19,85647	7,75970E-5
20,20324	9,26538E-5
32,55737	0,00020
41,32730	0,00031
50,44802	0,00049
59,58355	0,00067
68,89506	0,00086
80,46656	0,00108
89,73364	0,00137
99,14750	0,00166
108,57834	0,00194
120,12550	0,00217
129,46282	0,00253
138,83988	0,00283
148,40007	0,00306
159,85914	0,00337
169,18051	0,00379
178,68293	0,00410
188,27091	0,00433
199,60420	0,00468
208,99409	0,00516
218,52443	0,00543
228,17945	0,00566
239,38765	0,00612
248,84338	0,00660
258,41753	0,00689
268,11864	0,00708
279,23337	0,00778
288,71507	0,00820
298,33856	0,00848
309,65800	0,00882
319,06388	0,00954
328,60014	0,01000
338,25975	0,01030
349,48576	0,01088
358,92643	0,01166
368,50403	0,01213
378,21194	0,01242
389,31749	0,01336
398,81506	0,01416
408,42791	0,01473
419,76180	0,01509
429,17674	0,01644
438,70714	0,01738
448,35759	0,01802
459,59413	0,01889
469,04082	0,02044
478,60636	0,02154
488,29177	0,02236
499,44466	0,02396
508,92278	0,02586
518,52176	0,02731
528,24421	0,02841
539,29917	0,03121
548,81096	0,03376
558,45154	0,03573
569,73502	0,03769
579,17174	0,04208
588,71752	0,04578
598,38712	0,04898
609,58878	0,05367
619,05532	0,06059
628,63264	0,06693
638,33280	0,07318
649,45925	0,08406
658,95503	0,09725
668,56522	0,11101
678,28375	0,12696
689,35998	0,15731
698,87918	0,19459
708,49630	0,24262
719,88254	0,31842
729,26294	0,44811
738,52013	0,59245
747,72816	0,63427
757,45568	0,51434
768,66538	0,40299
778,34472	0,32042
788,13591	0,26157
799,21722	0,22759
808,75175	0,20523
818,41498	0,18414
828,18728	0,16613
839,14448	0,15934
848,70167	0,15163
858,38482	0,14261
869,57517	0,13535
879,04265	0,13529
888,63009	0,13204
898,33844	0,12746
909,44438	0,12633
918,94021	0,12802
928,55635	0,12688
938,29013	0,12433
949,31182	0,12748
958,83571	0,13029
968,48280	0,13040
978,24027	0,12951
989,18522	0,13650
998,73866	0,14014
1008,41305	0,14163
1019,59476	0,14447
1029,06183	0,15310
1038,64376	0,15796
1048,34421	0,16023
1059,44870	0,16760
1068,93922	0,17725
1078,54822	0,18262
1088,27251	0,18569
1099,30066	0,19735
1108,81585	0,20686
1118,45219	0,21144
1128,19950	0,21308
1139,14844	0,22683
1148,69439	0,23305
1158,36339	0,23381
1169,54481	0,23578
1179,00407	0,24450
1188,58520	0,24530
1198,29057	0,24080
1209,38223	0,24230
1218,87705	0,24509
1228,49951	0,24087
1238,24400	0,23332
1249,23784	0,23613
1258,77281	0,23559
1268,43644	0,22985
1279,65443	0,22286
1289,11231	0,22833
1298,68587	0,22712
1308,38602	0,22223
1319,51190	0,22145
1329,00124	0,22707
1338,61023	0,22711
1348,33773	0,22439
1359,38094	0,23053
1368,89902	0,23784
1378,54091	0,24045
1388,29641	0,24132
1399,25718	0,25649
1408,80876	0,26829
1418,47988	0,27629
1429,67822	0,28758
1439,14904	0,31509
1448,72832	0,33869
1458,42242	0,36200
1469,56975	0,40311
1479,06033	0,46349
1488,64858	0,53077
1498,32919	0,61316
1509,46709	0,75611
1518,84026	0,91113
1528,18013	0,96679
1537,75059	0,91079
1548,91617	0,75315
1558,48204	0,59692
1568,23328	0,46659
1578,08091	0,37101
1588,93704	0,31859
1598,55875	0,27088
1608,30741	0,22999
1619,36010	0,20152
1628,88015	0,18239
1638,52754	0,16210
1648,29230	0,14340
1659,24934	0,13244
1668,79871	0,12250
1678,47530	0,11134
1688,26238	0,10068
1699,13572	0,09621
1708,71753	0,08995
1718,42349	0,08275
1729,53008	0,07694
1739,02394	0,07424
1748,63749	0,06981
1758,37251	0,06467
1769,39344	0,06161
1778,91657	0,05937
1788,56636	0,05585
1798,33174	0,05200
1809,26528	0,05059
1818,82384	0,04870
1828,51034	0,04599
1839,67118	0,04319
1849,15419	0,04300
1858,75599	0,04183
1868,47996	0,04027
1879,55730	0,03992
1889,07638	0,04109
1898,70183	0,04178
1908,43465	0,04231
1919,44624	0,04475
1928,96362	0,04742
1938,59078	0,04893
1948,33493	0,04964
1959,28813	0,05256
1968,83015	0,05436
1978,49681	0,05476
1989,68283	0,05484
1999,14998	0,05753
2008,73038	0,05857
2018,43521	0,05852
2029,53715	0,05964
2039,03485	0,06221
2048,65063	0,06333
2058,38555	0,06365
2069,40477	0,06658
2078,93243	0,06972
2088,58098	0,07156
2098,34242	0,07287
2109,28329	0,07866
2118,84165	0,08335
2128,51953	0,08699
2139,69490	0,09185
2149,17620	0,10166
2158,76335	0,11035
2168,46664	0,11897
2179,58346	0,13350
2189,08778	0,15416
2198,69507	0,17703
2208,40727	0,20534
2219,51485	0,25873
2229,00417	0,33450
2238,49917	0,43341
2247,89059	0,52364
2258,90892	0,51788
2268,35048	0,41285
2278,15671	0,30418
2288,05811	0,23049
2298,92692	0,19177
2308,56825	0,16023
2318,32938	0,13490
2329,36748	0,11798
2338,89780	0,10684
2348,55202	0,09541
2358,32457	0,08494
2369,26815	0,07926
2378,82333	0,07402
2388,50509	0,06798
2398,29450	0,06219
2409,15563	0,06019
2418,74222	0,05701
2428,45370	0,05316
2439,54925	0,05017
2449,04668	0,04907
2458,66426	0,04681
2468,40238	0,04405
2479,41479	0,04273
2488,94225	0,04188
2498,59067	0,04008
2508,35443	0,03799
2519,28483	0,03766
2528,84242	0,03691
2538,52174	0,03543
2549,68499	0,03380
2559,16176	0,03406
2568,75028	0,03332
2578,46170	0,03204
2589,54184	0,03129
2599,04513	0,03141
2608,66667	0,03070
2618,40561	0,02958
2629,40491	0,02945
2638,93802	0,02944
2648,58931	0,02872
2658,35806	0,02774
2669,27511	0,02810
2678,83733	0,02800
2688,52058	0,02731
2699,66745	0,02657
2709,15109	0,02715
2718,74436	0,02695
2728,45757	0,02627
2739,52680	0,02611
2749,03456	0,02651
2758,65856	0,02621
2768,40281	0,02557
2779,38767	0,02586
2788,92392	0,02611
2798,58193	0,02576
2808,35180	0,02515
2819,25852	0,02584
2828,82584	0,02596
2838,51336	0,02559
2849,64799	0,02529
2859,13446	0,02606
2868,73284	0,02610
2878,45248	0,02569
2889,50676	0,02589
2899,01759	0,02653
2908,65038	0,02648
2918,39673	0,02609
2929,37077	0,02676
2938,91115	0,02728
2948,57373	0,02720
2958,34829	0,02682
2969,24186	0,02796
2978,81373	0,02839
2988,50751	0,02828
2999,62822	0,02840
3009,11959	0,02957
3018,72141	0,02996
3028,44478	0,02986
3039,49018	0,03061
3049,00674	0,03174
3058,64116	0,03213
3068,39189	0,03211
3079,35664	0,03357
3088,90206	0,03476
3098,56816	0,03521
3109,76167	0,03538
3119,23088	0,03769
3128,80576	0,03904
3138,50246	0,03970
3149,62013	0,04097
3159,11401	0,04365
3168,71919	0,04534
3178,44346	0,04645
3189,48630	0,04926
3199,00542	0,05272
3208,64113	0,05521
3218,39160	0,05728
3229,36097	0,06266
3238,90883	0,06778
3248,57261	0,07217
3259,77762	0,07709
3269,25029	0,08727
3278,82347	0,09680
3288,51127	0,10657
3299,66641	0,12133
3309,15795	0,14371
3318,74538	0,16923
3328,42985	0,20111
3339,58682	0,25638
3349,01709	0,33252
3358,41161	0,40806
3367,82923	0,42959
3379,00128	0,37501
3388,52853	0,30310
3398,27976	0,23830
3408,13533	0,19123
3419,02027	0,16624
3428,63645	0,14461
3438,37656	0,12590
3449,45525	0,11273
3458,96939	0,10525
3468,60654	0,09663
3478,36259	0,08825
3489,34760	0,08390
3498,88952	0,08055
3508,55331	0,07595
3518,33163	0,07124
3529,23518	0,07047
3538,80557	0,06869
3548,49925	0,06586
3559,63604	0,06347
3569,12454	0,06413
3578,72528	0,06317
3588,44743	0,06137
3599,50389	0,06113
3609,01867	0,06219
3618,65011	0,06183
3628,40015	0,06082
3639,37783	0,06241
3648,91974	0,06389
3658,58297	0,06411
3668,35646	0,06387
3679,25702	0,06741
3688,82831	0,06957
3698,52031	0,07062
3709,65297	0,07254
3719,14442	0,07752
3728,74542	0,08093
3738,46528	0,08349
3749,52599	0,08906
3759,04177	0,09659
3768,67098	0,10276
3778,41344	0,10872
3789,41139	0,12153
3798,95021	0,13560
3808,60116	0,14968
3819,85074	0,16658
3829,31318	0,19932
3838,85652	0,23625
3848,48323	0,27988
3859,73509	0,33845
3869,07003	0,41062
3878,42788	0,43984
3887,99946	0,39998
3899,23950	0,32865
3908,74992	0,27482
3918,43359	0,22545
3928,24001	0,18629
3939,19766	0,16285
3948,76941	0,14434
3958,47018	0,12685
3968,27551	0,11183
3979,11994	0,10495
3988,71925	0,09668
3998,44164	0,08807
4009,51587	0,08160
4019,02534	0,07839
4028,65325	0,07360
4038,40091	0,06834
4049,39087	0,06564
4058,92843	0,06364
4068,58727	0,06041
4078,35979	0,05685
4089,26885	0,05615
4098,83508	0,05470
4108,52369	0,05231
4119,66504	0,04993
4129,15005	0,05016
4138,74753	0,04899
4148,46587	0,04710
4159,52680	0,04615
4169,03855	0,04633
4178,66648	0,04535
4188,41291	0,04381
4199,39389	0,04389
4208,93252	0,04403
4218,59235	0,04314
4228,36418	0,04188
4239,26672	0,04278
4248,83463	0,04286
4258,52598	0,04214
4269,65738	0,04155
4279,14615	0,04282
4288,74547	0,04294
4298,46568	0,04237
4309,52068	0,04281
4319,03418	0,04408
4328,66398	0,04429
4338,41187	0,04397
4349,38960	0,04550
4358,93080	0,04689
4368,59072	0,04733
4378,36409	0,04736
4389,26465	0,05017
4398,83521	0,05194
4408,52633	0,05286
4419,66001	0,05440
4429,15073	0,05829
4438,75082	0,06102
4448,46888	0,06315
4459,53404	0,06761
4469,04867	0,07370
4478,67433	0,07892
4488,41237	0,08413
4499,42215	0,09498
4508,95556	0,10729
4518,59533	0,12024
4529,87054	0,13592
4539,31580	0,16555
4548,81984	0,19840
4558,37429	0,23166
4569,62287	0,25583
4578,90220	0,26611
4588,38550	0,23920
4598,12771	0,19723
4609,28761	0,16265
4618,81468	0,14019
4628,48386	0,11958
4638,27171	0,10244
4649,22616	0,09249
4658,78825	0,08420
4668,47736	0,07574
4678,27299	0,06813
4689,13254	0,06507
4698,72209	0,06092
4708,43734	0,05631
4719,52881	0,05284
4729,03036	0,05145
4738,65092	0,04892
4748,39036	0,04595
4759,39904	0,04457
4768,92828	0,04368
4778,57965	0,04185
4788,34621	0,03971
4799,27332	0,03951
4808,83245	0,03884
4818,51508	0,03742
4829,67545	0,03594
4839,15307	0,03638
4848,74404	0,03581
4858,45747	0,03466
4869,53538	0,03416
4879,04093	0,03457
4888,66416	0,03408
4898,40737	0,03317
4909,40208	0,03348
4918,93635	0,03386
4928,59247	0,03350
4938,36238	0,03281
4949,27576	0,03383
4958,84029	0,03425
4968,52664	0,03400
4979,67090	0,03386
4989,15609	0,03528
4998,75276	0,03577
5008,47092	0,03571
5019,53425	0,03653
5029,04660	0,03812
5038,67447	0,03886
5048,41964	0,03914
5059,40585	0,04116
5068,94638	0,04317
5078,60376	0,04438
5088,37451	0,04532
5099,28583	0,04911
5108,85481	0,05212
5118,54071	0,05449
5129,68907	0,05781
5139,17900	0,06405
5148,77307	0,06963
5158,48043	0,07517
5169,57647	0,08464
5179,08187	0,09773
5188,68319	0,11189
5198,37492	0,12846
5209,45622	0,15647
5218,87650	0,18674
5228,32998	0,20514
5237,91520	0,19762
5248,98415	0,17410
5258,54104	0,14439
5268,29046	0,11620
5279,45826	0,09454
5288,96555	0,08241
5298,60540	0,07091
5308,36712	0,06094
5319,37391	0,05422
5328,91309	0,04952
5338,57671	0,04447
5348,35745	0,03977
5359,26955	0,03725
5368,83708	0,03479
5378,52917	0,03194
5388,32955	0,02920
5399,15979	0,02827
5408,75896	0,02670
5418,47961	0,02482
5429,54202	0,02343
5439,05335	0,02283
5448,68081	0,02169
5458,43046	0,02036
5469,41128	0,01972
5478,95046	0,01925
5488,61096	0,01837
5498,38311	0,01735
5509,28443	0,01717
5518,85290	0,01674
5528,54474	0,01601
5539,67545	0,01526
5549,16330	0,01531
5558,76291	0,01492
5568,48273	0,01430
5579,53439	0,01394
5589,04991	0,01392
5598,68119	0,01354
5608,43011	0,01300
5619,40083	0,01292
5628,94172	0,01285
5638,60526	0,01247
5648,37981	0,01198
5659,27203	0,01210
5668,84142	0,01197
5678,53776	0,01162
5689,65800	0,01128
5699,14932	0,01143
5708,75231	0,01126
5718,47686	0,01092
5729,51625	0,01080
5739,03426	0,01089
5748,66988	0,01069
5758,42147	0,01035
