Frequenz	Amplitude
Hz	Ref
Inf	0,00000
10,75942	7,07054E-5
20,02621	3,07013E-5
28,42797	8,61762E-5
33,03777	0,00037
41,68362	0,00109
50,57118	0,00235
59,61049	0,00419
68,74769	0,00653
80,74398	0,00921
89,85339	0,01309
98,99627	0,01744
108,26661	0,02201
117,69205	0,02642
129,41025	0,03290
138,62042	0,03957
147,98000	0,04581
157,49427	0,05142
169,07649	0,06064
178,34934	0,06913
187,78146	0,07627
199,58572	0,08264
208,80186	0,09459
218,14464	0,10410
227,64037	0,11156
239,31815	0,11977
248,58149	0,13325
257,97900	0,14308
267,53085	0,14979
279,07835	0,16108
288,38796	0,17493
297,84283	0,18400
307,43757	0,19001
318,86744	0,20490
328,22250	0,21840
337,72759	0,22636
347,35627	0,23091
358,67215	0,25011
368,07698	0,26222
377,62940	0,26835
389,18742	0,27663
398,49793	0,29540
407,94779	0,30525
417,54040	0,30917
428,98534	0,32243
438,33690	0,33947
447,83519	0,34757
457,46037	0,34953
468,79871	0,36852
478,19273	0,38322
487,73363	0,38767
499,32020	0,38857
508,62359	0,41251
518,06127	0,42389
527,64200	0,42596
539,12318	0,43404
548,46034	0,45527
557,94254	0,46279
567,55810	0,46171
578,93524	0,47735
588,31211	0,49456
597,83628	0,49902
607,47937	0,49560
618,75741	0,51875
628,17635	0,53210
637,73886	0,53276
649,26971	0,53174
658,59061	0,55825
668,05289	0,56774
677,65171	0,56488
689,07803	0,57373
698,43634	0,59527
707,93959	0,60002
717,56817	0,59494
728,89697	0,61293
738,29292	0,62951
747,83569	0,62964
757,49171	0,62176
768,72541	0,64895
778,16164	0,66072
787,74161	0,65774
799,22576	0,65676
808,56452	0,68373
818,04338	0,69055
827,65565	0,68350
839,04126	0,69400
848,41493	0,71534
857,93289	0,71696
867,57390	0,70790
878,86335	0,72907
888,27611	0,74520
897,83163	0,74211
907,49596	0,73099
918,69634	0,76234
928,14867	0,77170
937,74037	0,76504
949,18776	0,76538
958,53939	0,79323
968,03069	0,79770
977,65471	0,78713
989,00564	0,80013
998,39276	0,82102
1007,92337	0,82014
1017,57468	0,80732
1028,83224	0,83271
1038,25808	0,84716
1047,82625	0,84154
1059,33800	0,82766
1068,66780	0,86286
